part,material,material_first_vertex,vertex_count,obj_first_vertex,obj_vertex_count
Coat/Sleeve_L_Rim_v_hi,ClothAccent,15828,432,19156,432
Coat/Sleeve_R_Lining,ClothAccent,16260,216,19588,216
Coat/Sleeve_R_Rim_v_hi,ClothAccent,16476,432,19804,432
Coat/Mantle_Lining,ClothAccent,16908,384,20236,384
Coat/Mantle_Rim_v_hi,ClothAccent,17292,768,20620,768
Coat/Mantle_Rim_u_lo,ClothAccent,18060,768,21388,768
Coat/Mantle_Rim_u_hi,ClothAccent,18828,768,22156,768
Coat/Tassel_0,ClothAccent,19596,26,22924,26
Coat/Tassel_1,ClothAccent,19622,26,22950,26
Coat/Tassel_2,ClothAccent,19648,26,22976,26
Coat/Collar_Lining,ClothAccent,19674,400,23002,400
Coat/Collar_Rim_v_lo,ClothAccent,20074,800,23402,800
Coat/Collar_Rim_v_hi,ClothAccent,20874,800,24202,800
Coat/Collar_Rim_u_lo,ClothAccent,21674,800,25002,800
Coat/Collar_Rim_u_hi,ClothAccent,22474,800,25802,800
Harness/VigilDiscCore,ClothAccent,23274,114,26602,114
Trouser/Leg_L,Trouser,0,312,26716,312
Trouser/Leg_L_Lining,Trouser,312,312,27028,312
Trouser/Leg_L_Rim_v_hi,Trouser,624,624,27340,624
Trouser/Leg_R,Trouser,1248,312,27964,312
Trouser/Leg_R_Lining,Trouser,1560,312,28276,312
Trouser/Leg_R_Rim_v_hi,Trouser,1872,624,28588,624
Trouser/TailoredWaist,Trouser,2496,220,29212,220
Trouser/TailoredWaist_Lining,Trouser,2716,220,29432,220
Trouser/TailoredWaist_Rim_v_hi,Trouser,2936,440,29652,440
Trouser/Seat,Trouser,3376,422,30092,422
Trouser/UpperThigh,Trouser,3798,222,30514,222
Coat/Knot,Leather,0,128,30736,128
Coat/HemStrap_L,Leather,128,58,30864,58
Coat/HemStrap_R,Leather,186,58,30922,58
Coat/Cuff_L,Leather,244,96,30980,96
Coat/Cuff_L_Lining,Leather,340,96,31076,96
Coat/Cuff_L_Rim_v_lo,Leather,436,192,31172,192
Coat/Cuff_L_Rim_v_hi,Leather,628,192,31364,192
Coat/Cuff_R,Leather,820,96,31556,96
Coat/Cuff_R_Lining,Leather,916,96,31652,96
Coat/Cuff_R_Rim_v_lo,Leather,1012,192,31748,192
Coat/Cuff_R_Rim_v_hi,Leather,1204,192,31940,192
Coat/ArmStrap_L,Leather,1396,72,32132,72
Belt/Main,Leather,1468,312,32204,312
Belt/Main_Lining,Leather,1780,312,32516,312
Belt/Main_Rim_v_lo,Leather,2092,624,32828,624
Belt/Main_Rim_v_hi,Leather,2716,624,33452,624
Belt/UnderStrap,Leather,3340,416,34076,416
Belt/Keeper_0,Leather,3756,58,34492,58
Belt/Keeper_1,Leather,3814,58,34550,58
Belt/Keeper_2,Leather,3872,58,34608,58
Belt/Keeper_3,Leather,3930,58,34666,58
Belt/Satchel,Leather,3988,50,34724,50
Belt/SatchelFlap,Leather,4038,38,34774,38
Belt/SatchelStrap,Leather,4076,26,34812,26
Belt/ChartCase,Leather,4102,62,34838,62
Harness/Baldric,Leather,4164,370,34900,370
Glove/Cuff_L,Leather,4534,66,35270,66
Glove/Cuff_L_Lining,Leather,4600,66,35336,66
Glove/Cuff_L_Rim_v_lo,Leather,4666,132,35402,132
Glove/Cuff_L_Rim_v_hi,Leather,4798,132,35534,132
Glove/Hand_L,Leather,4930,100,35666,100
Glove/Hand_L_Lining,Leather,5030,100,35766,100
Glove/Hand_L_Rim_v_lo,Leather,5130,200,35866,200
Glove/Finger_L1,Leather,5330,40,36066,40
Glove/Finger_L1_Lining,Leather,5370,40,36106,40
Glove/Finger_L1_Rim_v_lo,Leather,5410,80,36146,80
Glove/Finger_L1_Rim_v_hi,Leather,5490,80,36226,80
Glove/Finger_L2,Leather,5570,40,36306,40
Glove/Finger_L2_Lining,Leather,5610,40,36346,40
Glove/Finger_L2_Rim_v_lo,Leather,5650,80,36386,80
Glove/Finger_L2_Rim_v_hi,Leather,5730,80,36466,80
Glove/Finger_L3,Leather,5810,40,36546,40
Glove/Finger_L3_Lining,Leather,5850,40,36586,40
Glove/Finger_L3_Rim_v_lo,Leather,5890,80,36626,80
Glove/Finger_L3_Rim_v_hi,Leather,5970,80,36706,80
Glove/Finger_L4,Leather,6050,40,36786,40
Glove/Finger_L4_Lining,Leather,6090,40,36826,40
Glove/Finger_L4_Rim_v_lo,Leather,6130,80,36866,80
Glove/Finger_L4_Rim_v_hi,Leather,6210,80,36946,80
Glove/Thumb_L,Leather,6290,48,37026,48
Glove/Thumb_L_Lining,Leather,6338,48,37074,48
Glove/Thumb_L_Rim_v_lo,Leather,6386,96,37122,96
Glove/Thumb_L_Rim_v_hi,Leather,6482,96,37218,96
Glove/KnucklePlate_L,Leather,6578,26,37314,26
Glove/WristStrap_L,Leather,6604,104,37340,104
Glove/Cuff_R,Leather,6708,66,37444,66
Glove/Cuff_R_Lining,Leather,6774,66,37510,66
Glove/Cuff_R_Rim_v_lo,Leather,6840,132,37576,132
Glove/Cuff_R_Rim_v_hi,Leather,6972,132,37708,132
Glove/Hand_R,Leather,7104,100,37840,100
Glove/Hand_R_Lining,Leather,7204,100,37940,100
Glove/Hand_R_Rim_v_lo,Leather,7304,200,38040,200
Glove/Finger_R1,Leather,7504,40,38240,40
Glove/Finger_R1_Lining,Leather,7544,40,38280,40
Glove/Finger_R1_Rim_v_lo,Leather,7584,80,38320,80
Glove/Finger_R1_Rim_v_hi,Leather,7664,80,38400,80
Glove/Finger_R2,Leather,7744,40,38480,40
Glove/Finger_R2_Lining,Leather,7784,40,38520,40
Glove/Finger_R2_Rim_v_lo,Leather,7824,80,38560,80
Glove/Finger_R2_Rim_v_hi,Leather,7904,80,38640,80
Glove/Finger_R3,Leather,7984,40,38720,40
Glove/Finger_R3_Lining,Leather,8024,40,38760,40
Glove/Finger_R3_Rim_v_lo,Leather,8064,80,38800,80
Glove/Finger_R3_Rim_v_hi,Leather,8144,80,38880,80
Glove/Finger_R4,Leather,8224,40,38960,40
Glove/Finger_R4_Lining,Leather,8264,40,39000,40
Glove/Finger_R4_Rim_v_lo,Leather,8304,80,39040,80
Glove/Finger_R4_Rim_v_hi,Leather,8384,80,39120,80
Glove/Thumb_R,Leather,8464,48,39200,48
Glove/Thumb_R_Lining,Leather,8512,48,39248,48
Glove/Thumb_R_Rim_v_lo,Leather,8560,96,39296,96
Glove/Thumb_R_Rim_v_hi,Leather,8656,96,39392,96
Glove/KnucklePlate_R,Leather,8752,26,39488,26
Glove/WristStrap_R,Leather,8778,104,39514,104
Boot/Shaft_L,Leather,8882,132,39618,132
Boot/Shaft_L_Lining,Leather,9014,132,39750,132
Boot/Shaft_L_Rim_v_lo,Leather,9146,264,39882,264
Boot/Shaft_L_Rim_v_hi,Leather,9410,264,40146,264
Boot/TopCollar_L,Leather,9674,88,40410,88
Boot/TopCollar_L_Lining,Leather,9762,88,40498,88
Boot/TopCollar_L_Rim_v_lo,Leather,9850,176,40586,176
Boot/TopCollar_L_Rim_v_hi,Leather,10026,176,40762,176
Boot/Foot_L,Leather,10202,216,40938,216
Boot/Foot_L_CapLo,Leather,10418,25,41154,25
Boot/Foot_L_CapHi,Leather,10443,25,41179,25
Boot/ToeCap_L,Leather,10468,80,41204,80
Boot/ToeCap_L_Lining,Leather,10548,80,41284,80
Boot/ToeCap_L_Rim_v_lo,Leather,10628,160,41364,160
Boot/ToeCap_L_CapHi,Leather,10788,21,41524,21
Boot/InstepStrap_L,Leather,10809,120,41545,120
Boot/AnkleStrap_L,Leather,10929,120,41665,120
Boot/Shaft_R,Leather,11049,132,41785,132
Boot/Shaft_R_Lining,Leather,11181,132,41917,132
Boot/Shaft_R_Rim_v_lo,Leather,11313,264,42049,264
Boot/Shaft_R_Rim_v_hi,Leather,11577,264,42313,264
Boot/TopCollar_R,Leather,11841,88,42577,88
Boot/TopCollar_R_Lining,Leather,11929,88,42665,88
Boot/TopCollar_R_Rim_v_lo,Leather,12017,176,42753,176
Boot/TopCollar_R_Rim_v_hi,Leather,12193,176,42929,176
Boot/Foot_R,Leather,12369,216,43105,216
Boot/Foot_R_CapLo,Leather,12585,25,43321,25
Boot/Foot_R_CapHi,Leather,12610,25,43346,25
Boot/ToeCap_R,Leather,12635,80,43371,80
Boot/ToeCap_R_Lining,Leather,12715,80,43451,80
Boot/ToeCap_R_Rim_v_lo,Leather,12795,160,43531,160
Boot/ToeCap_R_CapHi,Leather,12955,21,43691,21
Boot/InstepStrap_R,Leather,12976,120,43712,120
Boot/AnkleStrap_R,Leather,13096,120,43832,120
Body/Forearm_L,Skin,0,82,43952,82
Body/Forearm_R,Skin,82,82,44034,82
Body/Torso,Skin,164,180,44116,180
Head/FaceAndNeck,Skin,344,7041,44296,7041
Head/DetailedEars,Skin,7385,100,51337,100
Head/Eyebrows,Hair,0,80,51437,80
Hair/WayfarerHairstyle,Hair,80,2153,51517,2153
Coat/KnotStud,AgedBrass,0,86,53670,86
Coat/ShoulderToggle,AgedBrass,86,128,53756,128
Coat/ToggleRing,AgedBrass,214,72,53884,72
Coat/GaugeTick_0,AgedBrass,286,52,53956,52
Coat/GaugeTick_1,AgedBrass,338,52,54008,52
Coat/GaugeTick_2,AgedBrass,390,52,54060,52
Coat/GaugeTick_3,AgedBrass,442,52,54112,52
Coat/GaugeTick_4,AgedBrass,494,52,54164,52
Coat/GaugeTick_5,AgedBrass,546,52,54216,52
Coat/GaugeTick_6,AgedBrass,598,52,54268,52
Coat/CuffStud_L0,AgedBrass,650,72,54320,72
Coat/CuffStud_L1,AgedBrass,722,72,54392,72
Coat/CuffStud_R0,AgedBrass,794,72,54464,72
Coat/CuffStud_R1,AgedBrass,866,72,54536,72
Coat/CollarHook,AgedBrass,938,18,54608,18
Coat/CollarEye,AgedBrass,956,72,54626,72
Belt/BuckleTongue,AgedBrass,1028,22,54698,22
Belt/BuckleProng,AgedBrass,1050,86,54720,86
Belt/Rivet_0,AgedBrass,1136,72,54806,72
Belt/Rivet_1,AgedBrass,1208,72,54878,72
Belt/Rivet_2,AgedBrass,1280,72,54950,72
Belt/Rivet_3,AgedBrass,1352,72,55022,72
Belt/Rivet_4,AgedBrass,1424,72,55094,72
Belt/Rivet_5,AgedBrass,1496,72,55166,72
Belt/SatchelStud0,AgedBrass,1568,72,55238,72
Belt/SatchelStud1,AgedBrass,1640,72,55310,72
Belt/ChartCaseCap0,AgedBrass,1712,86,55382,86
Belt/ChartCaseCap1,AgedBrass,1798,86,55468,86
Harness/BaldricRivet0,AgedBrass,1884,86,55554,86
Harness/BaldricRivet1,AgedBrass,1970,86,55640,86
Harness/BaldricRivet2,AgedBrass,2056,86,55726,86
Harness/BaldricRivet3,AgedBrass,2142,86,55812,86
Harness/VigilDiscRing,AgedBrass,2228,96,55898,96
Glove/PlateRivet_L0,AgedBrass,2324,72,55994,72
Glove/PlateRivet_L1,AgedBrass,2396,72,56066,72
Glove/PlateRivet_L2,AgedBrass,2468,72,56138,72
Glove/PlateRivet_R0,AgedBrass,2540,72,56210,72
Glove/PlateRivet_R1,AgedBrass,2612,72,56282,72
Glove/PlateRivet_R2,AgedBrass,2684,72,56354,72
Head/Eyes,BoneThread,0,292,56426,292
Coat/CuffPiping_L,BoneThread,292,160,56718,160
Coat/CuffPiping_R,BoneThread,452,160,56878,160
Coat/CollarStitch,BoneThread,612,162,57038,162
Coat/CollarCord,BoneThread,774,26,57200,26
Harness/VigilTick0,BoneThread,800,14,57226,14
Harness/VigilTick1,BoneThread,814,14,57240,14
Harness/VigilTick2,BoneThread,828,14,57254,14
Harness/VigilLink0,BoneThread,842,60,57268,60
Harness/VigilLink1,BoneThread,902,60,57328,60
Harness/VigilLink2,BoneThread,962,60,57388,60
Harness/VigilLink3,BoneThread,1022,60,57448,60
Harness/VigilLink4,BoneThread,1082,60,57508,60
Boot/SidePanelSeam_L,BoneThread,1142,96,57568,96
Boot/HookStay_L0,BoneThread,1238,20,57664,20
Boot/HookStay_L1,BoneThread,1258,20,57684,20
Boot/HookStay_L2,BoneThread,1278,20,57704,20
Boot/SidePanelSeam_R,BoneThread,1298,96,57724,96
Boot/HookStay_R0,BoneThread,1394,20,57820,20
Boot/HookStay_R1,BoneThread,1414,20,57840,20
Boot/HookStay_R2,BoneThread,1434,20,57860,20
Boot/MudSpur_0,BoneThread,1454,14,57880,14
Boot/MudSpur_1,BoneThread,1468,14,57894,14
Boot/MudSpur_2,BoneThread,1482,14,57908,14
Boot/Sole_L,BootSole,0,82,57922,82
Boot/Heel_L,BootSole,82,32,58004,32
Boot/Sole_R,BootSole,114,82,58036,82
Boot/Heel_R,BootSole,196,32,58118,32
Shirt/Body,Linen,0,792,58150,792
Shirt/Body_Lining,Linen,792,792,58942,792
Shirt/Body_Rim_v_lo,Linen,1584,1584,59734,1584
Shirt/Body_Rim_v_hi,Linen,3168,1584,61318,1584
Shirt/Sleeve_L,Linen,4752,180,62902,180
Shirt/Sleeve_L_Lining,Linen,4932,180,63082,180
Shirt/Sleeve_L_Rim_v_hi,Linen,5112,360,63262,360
Shirt/Sleeve_R,Linen,5472,180,63622,180
Shirt/Sleeve_R_Lining,Linen,5652,180,63802,180
Shirt/Sleeve_R_Rim_v_hi,Linen,5832,360,63982,360
Vest/FrontBib_Lining,Linen,6192,384,64342,384
Coat/HemBuckle_L_-1,Iron,0,18,64726,18
Coat/HemBuckle_L_1,Iron,18,18,64744,18
Coat/HemBucklePin_L,Iron,36,18,64762,18
Coat/HemBuckle_R_-1,Iron,54,18,64780,18
Coat/HemBuckle_R_1,Iron,72,18,64798,18
Coat/HemBucklePin_R,Iron,90,18,64816,18
Belt/BuckleSide_-1,Iron,108,22,64834,22
Belt/BuckleBar_-1,Iron,130,22,64856,22
Belt/BuckleSide_1,Iron,152,22,64878,22
Belt/BuckleBar_1,Iron,174,22,64900,22
Belt/SatchelBuckle,Iron,196,18,64922,18
Belt/RulePlate,Iron,214,26,64940,26
Harness/VigilDiscFrame,Iron,240,66,64966,66
Glove/Buckle_L,Iron,306,72,65032,72
Glove/Buckle_R,Iron,378,72,65104,72
Boot/InstepBuckle_L,Iron,450,72,65176,72
Boot/Hook_L0,Iron,522,72,65248,72
Boot/Hook_L1,Iron,594,72,65320,72
Boot/Hook_L2,Iron,666,72,65392,72
Boot/Hook_L3,Iron,738,72,65464,72
Boot/InstepBuckle_R,Iron,810,72,65536,72
Boot/Hook_R0,Iron,882,72,65608,72
Boot/Hook_R1,Iron,954,72,65680,72
Boot/Hook_R2,Iron,1026,72,65752,72
Boot/Hook_R3,Iron,1098,72,65824,72
